SiteID,ObservationDate,Species,Count,Observer,Status,Region,ObservationMonthYYYYMM
103,2025-06-30,Hawk,4,Ranger A,Low,East,2025-06
104,2025-07-18,Deer,2,Field Tech 1,Low,West,2025-07
101,2025-06-30,Fox,6,Ranger B,Low,North,2025-06
103,2025-06-30,Fox,1,Field Tech 1,Low,East,2025-06
103,2025-07-29,Owl,3,Ranger A,Low,East,2025-07
103,2025-07-09,Eagle,2,Field Tech 2,Low,East,2025-07
103,2025-06-26,Bear,6,Field Tech 1,Moderate,East,2025-06
102,2025-05-30,Raccoon,4,Field Tech 2,Low,South,2025-05
102,2025-07-23,Hawk,6,Field Tech 1,Moderate,South,2025-07
104,2025-07-15,Owl,4,Ranger A,Moderate,West,2025-07
103,2025-06-11,Deer,2,Field Tech 2,Low,East,2025-06
103,2025-07-04,Raccoon,4,Field Tech 2,Moderate,East,2025-07
102,2025-07-10,Raccoon,5,Ranger B,Moderate,South,2025-07
101,2025-06-11,Hawk,5,Field Tech 1,Low,North,2025-06
101,2025-06-05,Bear,5,Field Tech 1,Low,North,2025-06
102,2025-05-31,Deer,1,Ranger A,Low,South,2025-05
101,2025-06-06,Raccoon,2,Ranger A,Low,North,2025-06
104,2025-06-28,Bear,6,Ranger B,Moderate,West,2025-06
104,2025-07-08,Raccoon,6,Ranger B,Low,West,2025-07
102,2025-07-28,Bear,1,Ranger A,Low,South,2025-07
101,2025-06-29,Deer,4,Ranger B,Low,North,2025-06
104,2025-05-12,Hawk,1,Ranger B,Low,West,2025-05
101,2025-07-03,Deer,4,Field Tech 2,Low,North,2025-07
103,2025-07-01,Hawk,4,Field Tech 2,Low,East,2025-07
104,2025-05-26,Bear,3,Field Tech 2,Low,West,2025-05
104,2025-06-08,Owl,6,Ranger B,Moderate,West,2025-06
103,2025-07-11,Raccoon,5,Ranger B,Low,East,2025-07
103,2025-07-01,Fox,4,Field Tech 1,Low,East,2025-07
102,2025-06-09,Eagle,3,Field Tech 1,Low,South,2025-06
101,2025-05-23,Deer,6,Ranger B,Moderate,North,2025-05
104,2025-08-02,Deer,5,Ranger B,Moderate,West,2025-08
101,2025-06-28,Raccoon,4,Field Tech 1,Moderate,North,2025-06
104,2025-06-28,Fox,4,Ranger B,Moderate,West,2025-06
104,2025-06-24,Owl,1,Ranger A,Moderate,West,2025-06
104,2025-07-06,Fox,1,Field Tech 1,Moderate,West,2025-07
103,2025-06-24,Owl,6,Field Tech 2,Low,East,2025-06
102,2025-07-07,Deer,5,Field Tech 1,Low,South,2025-07
104,2025-07-07,Fox,4,Field Tech 2,Moderate,West,2025-07
103,2025-07-30,Bear,6,Field Tech 2,Low,East,2025-07
102,2025-07-04,Deer,6,Ranger A,Low,South,2025-07
104,2025-07-20,Hawk,2,Ranger A,Low,West,2025-07
101,2025-07-27,Raccoon,1,Ranger B,Low,North,2025-07
104,2025-05-29,Fox,5,Field Tech 1,Low,West,2025-05
104,2025-06-16,Deer,4,Field Tech 2,Low,West,2025-06
103,2025-06-18,Owl,6,Field Tech 2,Low,East,2025-06
103,2025-06-28,Eagle,4,Ranger A,Low,East,2025-06
104,2025-05-08,Bear,2,Ranger A,Low,West,2025-05
103,2025-06-03,Bear,5,Ranger A,Low,East,2025-06
101,2025-05-09,Deer,6,Ranger B,Low,North,2025-05
101,2025-07-24,Deer,4,Ranger B,Low,North,2025-07
102,2025-07-05,Bear,1,Ranger A,Moderate,South,2025-07
102,2025-07-04,Bear,2,Field Tech 1,Low,South,2025-07
103,2025-05-27,Hawk,5,Ranger A,Low,East,2025-05
102,2025-06-14,Fox,2,Ranger A,Moderate,South,2025-06
103,2025-07-18,Bear,1,Field Tech 2,Low,East,2025-07
104,2025-05-31,Fox,5,Ranger B,Low,West,2025-05
101,2025-08-03,Owl,2,Field Tech 1,Moderate,North,2025-08
101,2025-07-17,Owl,3,Ranger A,Low,North,2025-07
103,2025-07-13,Raccoon,1,Field Tech 1,Low,East,2025-07
101,2025-07-09,Bear,1,Field Tech 1,Low,North,2025-07
101,2025-06-28,Owl,1,Field Tech 2,Low,North,2025-06
101,2025-06-30,Eagle,3,Field Tech 2,Low,North,2025-06
102,2025-06-30,Deer,3,Field Tech 1,Low,South,2025-06
104,2025-07-04,Raccoon,4,Field Tech 1,Low,West,2025-07
103,2025-06-06,Owl,6,Ranger A,Moderate,East,2025-06
103,2025-07-02,Deer,2,Field Tech 2,Low,East,2025-07
104,2025-06-18,Fox,4,Field Tech 2,Low,West,2025-06
103,2025-05-29,Raccoon,2,Ranger B,Low,East,2025-05
103,2025-06-08,Eagle,6,Field Tech 1,Low,East,2025-06
103,2025-07-16,Fox,3,Ranger B,Low,East,2025-07
101,2025-06-05,Bear,6,Field Tech 2,Low,North,2025-06
104,2025-07-16,Owl,3,Ranger B,Moderate,West,2025-07
104,2025-07-27,Bear,6,Field Tech 2,Low,West,2025-07
104,2025-05-08,Fox,4,Field Tech 1,Low,West,2025-05
102,2025-06-26,Bear,5,Ranger B,Low,South,2025-06
103,2025-07-29,Hawk,4,Field Tech 1,Low,East,2025-07
104,2025-07-15,Hawk,2,Field Tech 1,Low,West,2025-07
104,2025-07-15,Eagle,4,Field Tech 1,Low,West,2025-07
104,2025-06-09,Eagle,1,Field Tech 1,Low,West,2025-06
102,2025-05-21,Bear,2,Ranger B,Low,South,2025-05
103,2025-05-21,Bear,6,Ranger B,Low,East,2025-05
102,2025-06-02,Bear,2,Field Tech 2,Low,South,2025-06
103,2025-07-20,Owl,5,Field Tech 1,Moderate,East,2025-07
101,2025-05-30,Eagle,3,Ranger B,Low,North,2025-05
103,2025-05-28,Eagle,6,Ranger A,Low,East,2025-05
102,2025-06-10,Fox,2,Ranger A,Low,South,2025-06
103,2025-08-03,Deer,6,Field Tech 2,Low,East,2025-08
101,2025-05-07,Hawk,6,Field Tech 1,Low,North,2025-05
104,2025-07-06,Raccoon,6,Field Tech 1,Low,West,2025-07
102,2025-05-12,Eagle,3,Field Tech 2,Low,South,2025-05
101,2025-05-14,Raccoon,4,Field Tech 2,Moderate,North,2025-05
101,2025-07-18,Bear,6,Ranger A,Low,North,2025-07
102,2025-05-25,Owl,1,Field Tech 1,Low,South,2025-05
101,2025-06-06,Fox,5,Field Tech 2,Low,North,2025-06
102,2025-07-11,Raccoon,3,Field Tech 2,Low,South,2025-07
104,2025-06-13,Owl,2,Field Tech 2,Low,West,2025-06
103,2025-07-17,Hawk,3,Ranger A,Low,East,2025-07
101,2025-06-01,Bear,2,Ranger B,Moderate,North,2025-06
103,2025-07-29,Fox,3,Ranger B,Low,East,2025-07
102,2025-05-28,Hawk,2,Ranger A,Low,South,2025-05
102,2025-05-06,Raccoon,6,Field Tech 2,Low,South,2025-05
104,2025-06-12,Fox,4,Ranger B,Low,West,2025-06
103,2025-06-11,Bear,2,Field Tech 2,Low,East,2025-06
101,2025-08-01,Deer,2,Field Tech 1,Moderate,North,2025-08
102,2025-06-29,Fox,1,Ranger B,Low,South,2025-06
102,2025-06-09,Owl,2,Ranger B,Low,South,2025-06
101,2025-05-13,Deer,1,Field Tech 1,Low,North,2025-05
103,2025-07-01,Fox,5,Field Tech 2,Low,East,2025-07
